Date,Station,Depth,Analyte,Result
6/24/2019,Clifton Court Forebay,~10-15 ft,PTOX Screen- toxin analysis not recomme0ed,
7/9/2019,Banks PP,,PTOX Screen- toxin analysis not recomme0ed,
7/9/2019,Clifton Court Forebay,,MC,0
8/12/2019,Banks PP,~10-15 ft,MC,0
8/12/2019,Clifton Court Forebay,~10-15 ft,MC,0
8/26/2019,Banks PP,~10-15 ft,MC,0
8/26/2019,Clifton Court Forebay,~10-15 ft,MC,0
9/9/2019,Banks PP,~10-15 ft,MC,0
9/9/2019,Banks PP,~10-15 ft,CYN,0
9/9/2019,Banks PP,~10-15 ft,ANTX-A,0
9/9/2019,Clifton Court Forebay,~10-15 ft,MC,0
9/23/2019,Banks PP,~10-15 ft,PTOX Screen- toxin analysis not recomme0ed,
9/23/2019,Clifton Court Forebay,~10-15 ft,PTOX Screen- toxin analysis not recomme0ed,
10/7/2019,Banks PP,~10-15 ft,PTOX Screen- toxin analysis not recomme0ed,
10/7/2019,Clifton Court Forebay,~10-15 ft,PTOX Screen- toxin analysis not recomme0ed,
10/21/2019,Banks PP,~10-15 ft,PTOX Screen- toxin analysis not recomme0ed,
10/21/2019,Clifton Court Forebay,~10-15 ft,PTOX Screen- toxin analysis not recomme0ed,
4/20/2020,Banks PP,~10-15 feet (depth of WQ station intake),PTOX Screen- toxin analysis not recomme0ed,
4/20/2020,Clifton Court Forebay,~10-15 feet (depth of WQ station intake),PTOX Screen- toxin analysis not recomme0ed,
5/19/2020,Banks PP,~10-15 feet (depth of WQ station intake),PTOX Screen- toxin analysis not recomme0ed,
5/19/2020,Clifton Court Forebay,~10-15 feet (depth of WQ station intake),PTOX Screen- toxin analysis not recomme0ed,
6/8/2020,Banks PP,~10-15 feet (depth of WQ station intake),PTOX Screen- toxin analysis not recomme0ed,
6/8/2020,Clifton Court Forebay,~10-15 feet (depth of WQ station intake),MC,0
6/22/2020,Banks PP,~10-15 feet (depth of WQ station intake),MC,0
6/22/2020,Banks PP,~10-15 feet (depth of WQ station intake),CYN,0
6/22/2020,Banks PP,~10-15 feet (depth of WQ station intake),STX,0
6/22/2020,Banks PP,~10-15 feet (depth of WQ station intake),ANTX-A,0
6/22/2020,Clifton Court Forebay,~10-15 feet (depth of WQ station intake),MC,1.3
6/29/2020,Banks PP,~10-15 feet (depth of WQ station intake),MC,0
6/29/2020,Banks PP,~10-15 feet (depth of WQ station intake),CYN,0
6/29/2020,Banks PP,~10-15 feet (depth of WQ station intake),STX,0
6/29/2020,Banks PP,~10-15 feet (depth of WQ station intake),ANTX-A,0
6/29/2020,Clifton Court Forebay,~10-15 feet (depth of WQ station intake),MC,0.66
7/6/2020,Banks PP,~10-15 feet (depth of WQ station intake),MC,0.37
7/6/2020,Banks PP,~10-15 feet (depth of WQ station intake),CYN,0
7/6/2020,Banks PP,~10-15 feet (depth of WQ station intake),STX,0
7/6/2020,Banks PP,~10-15 feet (depth of WQ station intake),ANTX-A,0
