Response Var,Agg Type,Avg Type,Dependent Var,Sum Sq,Df,F value,Pr(>F),Signif,Dif from main sim?
DissAmmonia,Seasonal,DI,Drought,0.083848654,2,2.857602483,0.060304366,< 0.1,
DissAmmonia,Seasonal,DI,Season,2.823339045,3,64.14716862,2.17E-27,< 0.001,
DissAmmonia,Seasonal,DI,DissAmmonia_onelag,0.725596267,1,49.45733973,5.39E-11,< 0.001,
DissAmmonia,Seasonal,DI,Residuals,2.376727013,162,NA,NA,NA,
,,,,,,,,,
DissAmmonia,Seasonal,yt,YearAdj,0.357513595,8,2.049888462,0.083225559,< 0.1,
DissAmmonia,Seasonal,yt,Season,0.682991431,3,10.44291294,1.38E-04,< 0.001,
DissAmmonia,Seasonal,yt,Residuals,0.523219094,24,NA,NA,NA,
 , , , , , , , , ,
DissAmmonia,Regional,DI,Drought,0.133013654,2,3.877387359,0.022742693,< 0.05,
DissAmmonia,Regional,DI,Region,0.05909463,3,1.148417287,0.331492207,> 0.1 (NS),
DissAmmonia,Regional,DI,DissAM_onelag,0.408331003,1,23.80593896,2.62E-06,< 0.001,
DissAmmonia,Regional,DI,DissAM_twolag,0.255934281,1,14.92111997,0.000164336,< 0.001,
DissAmmonia,Regional,DI,Residuals,2.658635122,155,NA,NA,NA,
,,,,,,,,,
DissAmmonia,Regional,yt,YearAdj,0.271743383,8,1.999616845,0.090560211,< 0.1,
DissAmmonia,Regional,yt,Region,0.865915438,3,16.99151189,3.91E-06,< 0.001,
DissAmmonia,Regional,yt,Residuals,0.407693179,24,NA,NA,NA,
 , , , , , , , , ,
DissNitrateNitrite,Seasonal,DI,Drought,0.161362954,2,10.86131734,3.59E-05,< 0.001,
DissNitrateNitrite,Seasonal,DI,Season,1.552950816,3,69.68593128,1.20E-29,< 0.001,
DissNitrateNitrite,Seasonal,DI,DissNN_onelag,0.391804676,1,52.74463326,1.22E-11,< 0.001,
DissNitrateNitrite,Seasonal,DI,DissNN_twolag,0.006300421,1,0.848160927,0.358348226,> 0.1 (NS),
DissNitrateNitrite,Seasonal,DI,Residuals,1.292529864,174,NA,NA,NA,
,,,,,,,,,
DissNitrateNitrite,Seasonal,yt,YearAdj,0.191930841,8,2.906309331,0.025237162,< 0.05,
DissNitrateNitrite,Seasonal,yt,Season,0.100493228,3,4.057911751,0.020988426,< 0.05,
DissNitrateNitrite,Seasonal,yt,DissNN_onelag,0.001847724,1,0.223832985,0.641257458,> 0.1 (NS),
DissNitrateNitrite,Seasonal,yt,DissNN_twolag,0.026931497,1,3.262477722,0.085954644,< 0.1,
DissNitrateNitrite,Seasonal,yt,Residuals,0.165098428,20,NA,NA,NA,
,,,,,,,,,
DissNitrateNitrite,Regional,DI,Drought,0.307051901,2,23.51739043,9.11E-10,< 0.001,
DissNitrateNitrite,Regional,DI,Region,0.693020299,3,35.38604576,6.62E-18,< 0.001,
DissNitrateNitrite,Regional,DI,DissNN_onelag,0.173861704,1,26.63245898,6.66E-07,< 0.001,
DissNitrateNitrite,Regional,DI,Residuals,1.135904747,174,NA,NA,NA,
,,,,,,,,,
DissNitrateNitrite,Regional,yt,YearAdj,0.313472701,8,32.68924441,4.44E-11,< 0.001,
DissNitrateNitrite,Regional,yt,Region,1.1201613,3,311.4974188,2.42E-19,< 0.001,
DissNitrateNitrite,Regional,yt,Residuals,0.028768426,24,NA,NA,NA,
 , , , , , , , , ,
DissOrthophos,Seasonal,DI,Drought,0.110886654,2,9.595503852,0.000110262,< 0.001,
DissOrthophos,Seasonal,DI,Season,0.432512005,3,24.95142846,1.59E-13,< 0.001,
DissOrthophos,Seasonal,DI,DissOrthophos_onelag,0.973154226,1,168.4225255,1.56E-27,< 0.001,
DissOrthophos,Seasonal,DI,Residuals,1.028493379,178,NA,NA,NA,
,,,,,,,,,
DissOrthophos,Seasonal,yt,YearAdj,0.102033706,8,4.95353249,0.001050489,< 0.01,
DissOrthophos,Seasonal,yt,Season,0.043854808,3,5.677502024,0.004377768,< 0.01,
DissOrthophos,Seasonal,yt,Residuals,0.061794511,24,NA,NA,NA,
 , , , , , , , , ,
DissOrthophos,Regional,DI,Drought,0.388276294,2,26.04453781,1.24E-10,< 0.001,
DissOrthophos,Regional,DI,Region,0.236348218,3,10.56907191,2.00E-06,< 0.001,
DissOrthophos,Regional,DI,DissOP_onelag,0.835336729,1,112.0643181,1.41E-20,< 0.001,
DissOrthophos,Regional,DI,Residuals,1.31191861,176,NA,NA,NA,
,,,,,,,,,
DissOrthophos,Regional,yt,YearAdj,0.098153453,8,9.11605984,1.11E-05,< 0.001,
DissOrthophos,Regional,yt,Region,0.124212092,3,30.76339025,2.16E-08,< 0.001,
DissOrthophos,Regional,yt,Residuals,0.032301275,24,NA,NA,NA,
