"","Yr_type","Region","Mean","FR"
"1","Critical","Confluence",0.0230394381850341,3.45591572775511
"2","Critical","Suisun Bay",0.00502642773187048,0.753964159780572
"3","Critical","Suisun Marsh",0.0203598980557839,3.05398470836758
"4","Dry","Confluence",0.00118496068205988,0.177744102308983
"5","Dry","Suisun Bay",0.00307192292048359,0.460788438072539
"6","Dry","Suisun Marsh",0.0260137850205577,3.90206775308366
"7","Below Normal","Confluence",0.00105292379989201,0.157938569983802
"8","Below Normal","Suisun Bay",0.00563628719777259,0.845443079665888
"9","Below Normal","Suisun Marsh",0.020946921134783,3.14203817021745
"10","Wet","Confluence",0.00258305743233216,0.387458614849824
"11","Wet","Suisun Bay",0.05777888663331,8.6668329949965
"12","Wet","Suisun Marsh",0.0381386320785288,5.72079481177932
