MetricL,Units,Transformation,intercept,Slope,r2,P,Drought Effect Size,Drought direction
Outflow,CFS,None,-26666.71,6475.32,0.925,0.0000,,
"SWP + CVP 
Exports (CFS)",CFS,None,4286.52,293.50,0.249,0.0004,,
X2,Km,None,96.33,-2.67,0.908,0.0000,,
Sacramento Residence Time,Days,None,60.87,-3.53,0.713,0.0000,,
"San Joaquin
Residence Time",Days,None,77.09,-3.23,0.163,0.0033,,
Salinity (PSU),PSU,None,4.87,-0.33,0.830,0.0000,,
"Secchi Depth 
(cm)",cm,NOne,79.55,-2.58,0.273,0.0002,,
Temperature (C),C,None,17.20,-0.11,0.360,0.0000,,
Nitrate + Nitrite,mg/L,natural log,-0.67,-0.04,0.370,0.0000,,
Ammonium,mg/L,natural log,-1.98,-0.04,0.093,0.0374,,
Orthophosphate,mg/L,natural log,-2.17,-0.06,0.494,0.0000,,
"Chlorophyll
Confluence (log(ug/L))",ug/L,natural log,1.17,0.0018,0.000,0.9362,,
"Chlorophyll
North (log(ug/L))",ug/L,natural log,0.69,0.0047,0.001,0.8348,,
"Chlorophyll
SouthCentral (log(ug/L))",ug/L,natural log,2.79,-0.08,0.184,0.0026,,
"Chlorophyll
 Suisun Bay (log(ug/L))",ug/L,natural log,0.80,0.04,0.040,0.1771,,
"Zooplankton
Confluence (log(ugC/L))",ug/m3,natural log,8.78,0.01,0.003,0.7162,,
"Zooplankton
SouthCentral (ugC/L)",ug/m3,natural log,10.68,-0.18,0.390,0.0000,,
"Zooplankton
Suisun Bay  (log(ugC/L))",ug/m3,natural log,7.88,0.13,0.298,0.0001,,
"Zooplankton
Suisun Marsh  (log(ugC/L))",ug/m3,natural log,9.11,0.01,0.004,0.6793,,
"Striped Bass 
log FMWT Index",unitless,natural log,4.87,0.16,0.103,0.0318,,
"Delta Smelt
log FMWT Index",unitless,natural log,3.73,0.10,0.023,0.3102,,
"Longfin  
log FMWT Index",unitless,natural log,2.88,0.42,0.342,0.0000,,
"Am Shad  
log FMWT Index",unitless,natural log,5.80,0.18,0.290,0.0001,,
Salmon CRR,unitless,none,1.09,0.03,0.012,0.4661,,
