"Yr_type","Region","Mean","clearance","percent"
"Critical","Confluence",0.0230394381850341,0.000986547229371409,0.0986547229371409
"Critical","Suisun Bay",0.00502642773187048,0.000215231305237884,0.0215231305237884
"Critical","Suisun Marsh",0.0203598980557839,0.000871809497085104,0.0871809497085104
"Dry","Confluence",0.00118496068205988,5.07399385528248e-05,0.00507399385528248
"Dry","Suisun Bay",0.00307192292048359,0.000131539537627017,0.0131539537627017
"Dry","Suisun Marsh",0.0260137850205577,0.00111390856545128,0.111390856545128
"Below Normal","Confluence",0.00105292379989201,4.5086127933338e-05,0.0045086127933338
"Below Normal","Suisun Bay",0.00563628719777259,0.000241345447499499,0.0241345447499499
"Below Normal","Suisun Marsh",0.020946921134783,0.000896945786759905,0.0896945786759905
"Wet","Confluence",0.00258305743233216,0.000110606349543273,0.0110606349543273
"Wet","Suisun Bay",0.05777888663331,0.00247408812951367,0.247408812951367
"Wet","Suisun Marsh",0.0381386320785288,0.00163309371986027,0.163309371986027
