#Station Number:B9502900
#Station Name:San Joaquin River at Blind Point
#Station Type:Water Quality
#Parameter:Water Temperature
#Output Interval (Unit of Measure):Daily Mean (DEGC)
#Output Date Range:Period of record
#Start and End Date of Output Date Range:02/03/2010 - 12/30/2021
#Query Date and Time:04/20/2022 13:51:31
Date Time,Water Temperature Daily Mean (DEGC),Quality Code
02/04/2010 00:00:00,10.109,1: Good data
02/05/2010 00:00:00,10.399,1: Good data
02/06/2010 00:00:00,10.605,1: Good data
02/07/2010 00:00:00,10.713,1: Good data
02/08/2010 00:00:00,10.883,1: Good data
02/09/2010 00:00:00,10.957,1: Good data
02/10/2010 00:00:00,10.994,1: Good data
02/11/2010 00:00:00,11.099,1: Good data
02/12/2010 00:00:00,11.299,1: Good data
02/13/2010 00:00:00,11.522,1: Good data
02/14/2010 00:00:00,11.723,1: Good data
02/15/2010 00:00:00, ,170: Unreliable Data
02/16/2010 00:00:00,12.279,1: Good data
02/17/2010 00:00:00, ,170: Unreliable Data
02/18/2010 00:00:00,12.607,1: Good data
02/19/2010 00:00:00,12.562,1: Good data
02/20/2010 00:00:00,12.467,1: Good data
02/21/2010 00:00:00,12.248,1: Good data
02/22/2010 00:00:00,12.26,1: Good data
02/23/2010 00:00:00,12.122,1: Good data
02/24/2010 00:00:00,12.056,1: Good data
02/25/2010 00:00:00,12.218,1: Good data
02/26/2010 00:00:00,12.299,1: Good data
02/27/2010 00:00:00,12.286,1: Good data
02/28/2010 00:00:00,12.433,1: Good data
03/01/2010 00:00:00,12.602,1: Good data
03/02/2010 00:00:00,12.623,1: Good data
03/03/2010 00:00:00,12.391,1: Good data
03/04/2010 00:00:00,12.334,1: Good data
03/05/2010 00:00:00,12.393,1: Good data
03/06/2010 00:00:00,12.54,1: Good data
03/07/2010 00:00:00,12.785,1: Good data
03/08/2010 00:00:00,12.624,1: Good data
03/09/2010 00:00:00,12.219,1: Good data
03/10/2010 00:00:00,12.131,1: Good data
03/11/2010 00:00:00,12.212,1: Good data
03/12/2010 00:00:00,12.182,1: Good data
03/13/2010 00:00:00,11.934,1: Good data
03/14/2010 00:00:00,12.011,1: Good data
03/15/2010 00:00:00,12.337,1: Good data
03/16/2010 00:00:00,12.805,1: Good data
03/17/2010 00:00:00,13.366,1: Good data
03/18/2010 00:00:00,13.762,1: Good data
03/19/2010 00:00:00,14.022,1: Good data
03/20/2010 00:00:00,14.297,1: Good data
03/21/2010 00:00:00,14.459,1: Good data
03/22/2010 00:00:00,14.627,1: Good data
03/23/2010 00:00:00,14.815,1: Good data
03/24/2010 00:00:00,14.94,1: Good data
03/25/2010 00:00:00,14.955,1: Good data
03/26/2010 00:00:00,14.819,1: Good data
03/27/2010 00:00:00,15.071,1: Good data
03/28/2010 00:00:00,15.434,1: Good data
03/29/2010 00:00:00,15.512,1: Good data
03/30/2010 00:00:00,15.408,1: Good data
03/31/2010 00:00:00,15.133,1: Good data
04/01/2010 00:00:00,14.991,1: Good data
04/02/2010 00:00:00,14.614,1: Good data
04/03/2010 00:00:00,14.3,1: Good data
04/04/2010 00:00:00,13.925,1: Good data
04/05/2010 00:00:00,13.942,1: Good data
04/06/2010 00:00:00,14.143,1: Good data
04/07/2010 00:00:00,14.672,1: Good data
04/08/2010 00:00:00,15.02,1: Good data
04/09/2010 00:00:00,15.107,1: Good data
04/10/2010 00:00:00,15.223,1: Good data
04/11/2010 00:00:00,14.734,1: Good data
04/12/2010 00:00:00,14.153,1: Good data
04/13/2010 00:00:00,14.087,1: Good data
04/14/2010 00:00:00,14.162,1: Good data
04/15/2010 00:00:00,14.456,1: Good data
04/16/2010 00:00:00,14.878,1: Good data
04/17/2010 00:00:00,15.275,1: Good data
04/18/2010 00:00:00,15.761,1: Good data
04/19/2010 00:00:00,16.017,1: Good data
04/20/2010 00:00:00,15.887,1: Good data
04/21/2010 00:00:00,15.422,1: Good data
04/22/2010 00:00:00,15.536,1: Good data
04/23/2010 00:00:00,16.062,1: Good data
04/24/2010 00:00:00,16.606,1: Good data
04/25/2010 00:00:00,17.128,1: Good data
04/26/2010 00:00:00,17.397,1: Good data
04/27/2010 00:00:00,17.195,1: Good data
04/28/2010 00:00:00,16.671,1: Good data
04/29/2010 00:00:00,16.308,1: Good data
04/30/2010 00:00:00,16.288,1: Good data
05/01/2010 00:00:00,16.611,1: Good data
05/02/2010 00:00:00,16.834,1: Good data
05/03/2010 00:00:00,17.408,1: Good data
05/04/2010 00:00:00,17.685,1: Good data
05/05/2010 00:00:00,17.614,1: Good data
05/06/2010 00:00:00,17.224,1: Good data
05/07/2010 00:00:00,17.265,1: Good data
05/08/2010 00:00:00,17.244,1: Good data
05/09/2010 00:00:00,16.968,1: Good data
05/10/2010 00:00:00,16.511,1: Good data
05/11/2010 00:00:00,17.838,2: Good quality edited data
05/12/2010 00:00:00,16.888,2: Good quality edited data
05/13/2010 00:00:00,17.348,1: Good data
05/14/2010 00:00:00,17.683,1: Good data
05/15/2010 00:00:00,17.918,1: Good data
05/16/2010 00:00:00,17.823,1: Good data
05/17/2010 00:00:00,17.489,1: Good data
05/18/2010 00:00:00,17.768,1: Good data
05/19/2010 00:00:00,17.741,1: Good data
05/20/2010 00:00:00,17.835,1: Good data
05/21/2010 00:00:00,17.305,1: Good data
05/22/2010 00:00:00,16.779,1: Good data
05/23/2010 00:00:00,16.742,1: Good data
05/24/2010 00:00:00,16.584,1: Good data
05/25/2010 00:00:00,16.561,1: Good data
05/26/2010 00:00:00,16.759,1: Good data
05/27/2010 00:00:00,16.646,1: Good data
05/28/2010 00:00:00,16.812,1: Good data
05/29/2010 00:00:00,17.355,1: Good data
05/30/2010 00:00:00,18.008,1: Good data
05/31/2010 00:00:00,18.358,1: Good data
06/01/2010 00:00:00,18.6,1: Good data
06/02/2010 00:00:00,18.915,1: Good data
06/03/2010 00:00:00,19.36,1: Good data
06/04/2010 00:00:00,19.943,1: Good data
06/05/2010 00:00:00,20.466,1: Good data
06/06/2010 00:00:00,20.867,1: Good data
06/07/2010 00:00:00,20.967,1: Good data
06/08/2010 00:00:00,21.017,1: Good data
06/09/2010 00:00:00,20.476,1: Good data
06/10/2010 00:00:00,20.159,1: Good data
06/11/2010 00:00:00,19.974,1: Good data
06/12/2010 00:00:00,20.216,1: Good data
06/13/2010 00:00:00,20.831,1: Good data
06/14/2010 00:00:00,21.024,1: Good data
06/15/2010 00:00:00,21.04,1: Good data
06/16/2010 00:00:00,21.051,1: Good data
06/17/2010 00:00:00,21.099,1: Good data
06/18/2010 00:00:00,21.068,1: Good data
06/19/2010 00:00:00,20.882,1: Good data
06/20/2010 00:00:00,20.904,1: Good data
06/21/2010 00:00:00,21.213,1: Good data
06/22/2010 00:00:00,21.441,1: Good data
06/23/2010 00:00:00,21.543,1: Good data
06/24/2010 00:00:00,21.377,1: Good data
06/25/2010 00:00:00,21.439,1: Good data
06/26/2010 00:00:00,21.65,1: Good data
06/27/2010 00:00:00,22.18,1: Good data
06/28/2010 00:00:00,22.752,1: Good data
06/29/2010 00:00:00,22.818,1: Good data
06/30/2010 00:00:00,22.672,1: Good data
07/01/2010 00:00:00,22.656,1: Good data
07/02/2010 00:00:00,22.573,1: Good data
07/03/2010 00:00:00,22.832,1: Good data
07/04/2010 00:00:00,23.126,1: Good data
07/05/2010 00:00:00,22.299,1: Good data
07/06/2010 00:00:00,21.41,1: Good data
07/07/2010 00:00:00,20.971,1: Good data
07/08/2010 00:00:00,20.72,1: Good data
07/09/2010 00:00:00,20.724,1: Good data
07/10/2010 00:00:00,20.931,1: Good data
07/11/2010 00:00:00,20.905,1: Good data
07/12/2010 00:00:00,20.692,1: Good data
07/13/2010 00:00:00,20.649,1: Good data
07/14/2010 00:00:00,21.267,1: Good data
07/15/2010 00:00:00,22.042,1: Good data
07/16/2010 00:00:00,22.125,1: Good data
07/17/2010 00:00:00,22.062,1: Good data
07/18/2010 00:00:00,22.395,1: Good data
07/19/2010 00:00:00,22.449,1: Good data
07/20/2010 00:00:00,22.029,1: Good data
07/21/2010 00:00:00,21.624,1: Good data
07/22/2010 00:00:00,21.448,1: Good data
07/23/2010 00:00:00,21.526,1: Good data
07/24/2010 00:00:00, ,170: Unreliable Data
07/25/2010 00:00:00, ,170: Unreliable Data
07/26/2010 00:00:00, ,170: Unreliable Data
07/27/2010 00:00:00, ,170: Unreliable Data
07/28/2010 00:00:00, ,170: Unreliable Data
07/29/2010 00:00:00, ,170: Unreliable Data
07/30/2010 00:00:00,20.173,1: Good data
07/31/2010 00:00:00,20.379,1: Good data
08/01/2010 00:00:00,20.542,1: Good data
08/02/2010 00:00:00,20.646,1: Good data
08/03/2010 00:00:00,20.797,1: Good data
08/04/2010 00:00:00,20.763,1: Good data
08/05/2010 00:00:00,20.567,1: Good data
08/06/2010 00:00:00,20.445,1: Good data
08/07/2010 00:00:00,20.448,1: Good data
08/08/2010 00:00:00,20.656,1: Good data
08/09/2010 00:00:00,20.653,1: Good data
08/10/2010 00:00:00,20.552,1: Good data
08/11/2010 00:00:00,20.534,1: Good data
08/12/2010 00:00:00,20.702,1: Good data
08/13/2010 00:00:00,20.744,1: Good data
