year,fl_rate_ppb,fl_area_ha,fl_quantity_kg
2006,NA,56.65604,NA
2007,NA,1314.015442,NA
2008,NA,1314.015442,NA
2009,NA,0,0
2010,NA,202.343,NA
2011,NA,976.5073179999999,NA
2012,NA,283.2802,NA
2013,NA,0,0
2014,102.79432964920714,757.9364094,1876.0466244327472
2015,NA,0,0
2016,170.00000000000003,422.89687,1731.1116971719166
2017,177.49999999999997,443.940542,1897.426073144231
2018,114.51154529307284,455.67643599999997,1256.4567533540496
2019,NA,0,0
2020,NA,0,0
2021,NA,0,0
