Date,Region,AvgCI
7/25/2020,Liberty Island,0
7/27/2020,Franks Tract,0
7/27/2020,Mildred Island,0
7/27/2020,Clifton Court Forebay,5.86E-05
7/27/2020,Liberty Island,0
7/28/2020,Clifton Court Forebay,1.10E-04
7/28/2020,Liberty Island,0
7/29/2020,Franks Tract,0
7/29/2020,Clifton Court Forebay,1.82E-05
7/29/2020,Liberty Island,0
7/31/2020,Franks Tract,4.34E-05
7/31/2020,Mildred Island,3.30E-05
7/31/2020,Clifton Court Forebay,1.09E-04
7/31/2020,Liberty Island,0
8/1/2020,Franks Tract,0
8/1/2020,Mildred Island,9.28E-05
8/1/2020,Clifton Court Forebay,4.03E-04
8/1/2020,Liberty Island,0
8/4/2020,Franks Tract,0
8/4/2020,Mildred Island,0
8/4/2020,Clifton Court Forebay,8.97E-05
8/4/2020,Liberty Island,0
8/5/2020,Franks Tract,0
8/5/2020,Mildred Island,0
8/5/2020,Clifton Court Forebay,1.16E-04
8/5/2020,Liberty Island,0
8/8/2020,Franks Tract,0
8/8/2020,Mildred Island,0
8/8/2020,Clifton Court Forebay,1.75E-05
8/8/2020,Liberty Island,0
8/9/2020,Franks Tract,0
8/9/2020,Mildred Island,0
8/9/2020,Clifton Court Forebay,3.70E-05
8/9/2020,Liberty Island,0
8/12/2020,Franks Tract,0
8/12/2020,Mildred Island,0
8/12/2020,Clifton Court Forebay,0
8/12/2020,Liberty Island,0
8/13/2020,Franks Tract,0
8/13/2020,Clifton Court Forebay,1.42E-05
8/13/2020,Liberty Island,4.40E-06
8/16/2020,Franks Tract,0
8/16/2020,Mildred Island,5.34E-04
8/16/2020,Clifton Court Forebay,2.58E-04
8/16/2020,Liberty Island,0
8/27/2020,Franks Tract,0
8/27/2020,Mildred Island,5.90E-04
8/27/2020,Clifton Court Forebay,5.20E-04
8/27/2020,Liberty Island,4.56E-06
8/31/2020,Franks Tract,0
9/1/2020,Franks Tract,0
9/1/2020,Mildred Island,0
9/4/2020,Franks Tract,0
9/4/2020,Mildred Island,0.0027575
9/4/2020,Clifton Court Forebay,3.26E-04
9/5/2020,Franks Tract,0
9/5/2020,Mildred Island,0.002411579
9/5/2020,Clifton Court Forebay,4.42E-05
9/15/2020,Liberty Island,0
9/16/2020,Franks Tract,0
9/16/2020,Mildred Island,0.0016785
9/16/2020,Clifton Court Forebay,4.48E-05
9/16/2020,Liberty Island,1.57E-05
9/19/2020,Franks Tract,0
9/19/2020,Clifton Court Forebay,0
9/19/2020,Liberty Island,2.14E-05
9/20/2020,Clifton Court Forebay,7.57E-06
9/23/2020,Franks Tract,8.69E-06
9/23/2020,Mildred Island,0
9/23/2020,Clifton Court Forebay,0
9/23/2020,Liberty Island,3.80E-06
9/24/2020,Franks Tract,0
9/24/2020,Mildred Island,0
9/24/2020,Clifton Court Forebay,0
9/24/2020,Liberty Island,1.20E-05
9/27/2020,Franks Tract,0
9/27/2020,Mildred Island,0
9/27/2020,Clifton Court Forebay,2.10E-06
9/27/2020,Liberty Island,6.19E-05
9/28/2020,Franks Tract,8.05E-05
9/28/2020,Mildred Island,0
9/28/2020,Clifton Court Forebay,0
9/28/2020,Liberty Island,1.07E-04
10/5/2020,Franks Tract,0
10/5/2020,Mildred Island,0
10/5/2020,Clifton Court Forebay,9.35E-06
10/5/2020,Liberty Island,3.51E-05
10/6/2020,Clifton Court Forebay,0
10/9/2020,Liberty Island,0
10/12/2020,Liberty Island,2.01E-05
10/13/2020,Franks Tract,2.75E-05
10/13/2020,Mildred Island,0
10/13/2020,Clifton Court Forebay,0
10/13/2020,Liberty Island,3.23E-05
10/14/2020,Franks Tract,0
10/14/2020,Clifton Court Forebay,0
10/14/2020,Liberty Island,1.79E-04
10/16/2020,Franks Tract,3.42E-05
10/16/2020,Mildred Island,0
10/16/2020,Clifton Court Forebay,0
10/16/2020,Liberty Island,9.15E-05
10/17/2020,Franks Tract,2.73E-05
10/17/2020,Mildred Island,0
10/17/2020,Clifton Court Forebay,0
10/17/2020,Liberty Island,2.29E-05
10/18/2020,Franks Tract,1.94E-05
10/18/2020,Clifton Court Forebay,2.90E-05
10/18/2020,Liberty Island,2.29E-05
10/20/2020,Franks Tract,2.97E-06
10/20/2020,Mildred Island,0
10/20/2020,Clifton Court Forebay,0
10/20/2020,Liberty Island,0
10/21/2020,Franks Tract,3.66E-06
10/21/2020,Mildred Island,0
10/21/2020,Clifton Court Forebay,0
10/21/2020,Liberty Island,1.90E-06
10/24/2020,Franks Tract,0
10/24/2020,Mildred Island,0
10/24/2020,Clifton Court Forebay,1.22E-05
10/24/2020,Liberty Island,3.09E-05
10/28/2020,Franks Tract,1.05E-05
10/28/2020,Mildred Island,0
10/28/2020,Clifton Court Forebay,9.03E-05
10/28/2020,Liberty Island,3.80E-05
10/29/2020,Mildred Island,0
10/29/2020,Liberty Island,1.14E-04
11/1/2020,Franks Tract,0
11/1/2020,Mildred Island,0
11/1/2020,Clifton Court Forebay,3.20E-05
11/1/2020,Liberty Island,2.63E-05
11/2/2020,Franks Tract,0
11/2/2020,Mildred Island,0
11/2/2020,Clifton Court Forebay,4.49E-05
11/2/2020,Liberty Island,8.66E-05
11/5/2020,Franks Tract,0
11/5/2020,Mildred Island,0
11/5/2020,Clifton Court Forebay,1.60E-05
11/5/2020,Liberty Island,0
11/8/2020,Liberty Island,0
11/9/2020,Franks Tract,1.07E-06
11/9/2020,Mildred Island,0
11/9/2020,Clifton Court Forebay,0
11/9/2020,Liberty Island,0
11/10/2020,Franks Tract,0
11/10/2020,Mildred Island,0
11/10/2020,Clifton Court Forebay,3.05E-06
11/10/2020,Liberty Island,0
11/12/2020,Franks Tract,0
11/12/2020,Mildred Island,0
11/12/2020,Clifton Court Forebay,3.05E-05
11/12/2020,Liberty Island,9.03E-06
11/16/2020,Franks Tract,0
11/16/2020,Mildred Island,0
11/16/2020,Clifton Court Forebay,0
11/16/2020,Liberty Island,0
11/20/2020,Franks Tract,0
11/20/2020,Mildred Island,0
11/20/2020,Clifton Court Forebay,0
11/20/2020,Liberty Island,1.00E-05
11/21/2020,Franks Tract,2.62E-05
11/21/2020,Mildred Island,0
11/21/2020,Clifton Court Forebay,0
11/21/2020,Liberty Island,9.39E-05
11/24/2020,Franks Tract,0
11/24/2020,Mildred Island,0
11/24/2020,Clifton Court Forebay,0
11/24/2020,Liberty Island,0
11/25/2020,Franks Tract,0
11/25/2020,Mildred Island,0
11/25/2020,Clifton Court Forebay,0
11/25/2020,Liberty Island,4.27E-05
11/28/2020,Franks Tract,0
11/28/2020,Mildred Island,0
11/28/2020,Clifton Court Forebay,0
11/28/2020,Liberty Island,3.00E-05
11/29/2020,Franks Tract,5.14E-05
11/29/2020,Mildred Island,0
11/29/2020,Clifton Court Forebay,0
11/29/2020,Liberty Island,8.70E-06
12/2/2020,Franks Tract,0
12/2/2020,Mildred Island,0
12/2/2020,Clifton Court Forebay,0
12/2/2020,Liberty Island,0
12/3/2020,Clifton Court Forebay,0
12/3/2020,Liberty Island,0
12/5/2020,Liberty Island,0
12/6/2020,Mildred Island,0
12/6/2020,Liberty Island,1.19E-06
12/7/2020,Franks Tract,1.48E-05
12/7/2020,Mildred Island,0
12/7/2020,Clifton Court Forebay,0
12/7/2020,Liberty Island,7.56E-05
12/9/2020,Franks Tract,0
12/9/2020,Mildred Island,0
12/9/2020,Clifton Court Forebay,0
12/9/2020,Liberty Island,1.98E-05
12/10/2020,Franks Tract,0
12/10/2020,Mildred Island,0
12/10/2020,Clifton Court Forebay,3.34E-06
12/10/2020,Liberty Island,2.39E-05
12/14/2020,Franks Tract,0
12/14/2020,Mildred Island,0
12/14/2020,Clifton Court Forebay,0
12/14/2020,Liberty Island,8.40E-06
12/17/2020,Franks Tract,0
12/17/2020,Mildred Island,0
12/17/2020,Liberty Island,0
12/18/2020,Franks Tract,0
12/18/2020,Mildred Island,0
12/18/2020,Clifton Court Forebay,0
12/18/2020,Liberty Island,1.58E-05
12/26/2020,Liberty Island,6.61E-06
12/29/2020,Franks Tract,0
12/29/2020,Mildred Island,0
12/29/2020,Clifton Court Forebay,0
12/29/2020,Liberty Island,0
5/1/2021,Franks Tract,0
5/1/2021,Mildred Island,0
5/1/2021,Clifton Court Forebay,1.53E-06
5/1/2021,Liberty Island,0
5/2/2021,Franks Tract,0
5/2/2021,Mildred Island,0
5/2/2021,Clifton Court Forebay,1.21E-05
5/2/2021,Liberty Island,0
5/5/2021,Franks Tract,0
5/5/2021,Mildred Island,0
5/5/2021,Clifton Court Forebay,0
5/5/2021,Liberty Island,0
5/6/2021,Franks Tract,0
5/6/2021,Mildred Island,0
5/6/2021,Clifton Court Forebay,0
5/6/2021,Liberty Island,0
5/9/2021,Franks Tract,0
5/9/2021,Mildred Island,0
5/9/2021,Clifton Court Forebay,0
5/9/2021,Liberty Island,5.96E-06
5/10/2021,Franks Tract,0
5/10/2021,Mildred Island,0
5/10/2021,Clifton Court Forebay,3.04E-05
5/10/2021,Liberty Island,2.40E-06
5/13/2021,Franks Tract,0
5/13/2021,Mildred Island,0
5/13/2021,Clifton Court Forebay,0
5/13/2021,Liberty Island,0
5/14/2021,Franks Tract,0
5/14/2021,Mildred Island,0
5/14/2021,Clifton Court Forebay,0
5/14/2021,Liberty Island,0
5/16/2021,Liberty Island,0
5/17/2021,Franks Tract,0
5/17/2021,Mildred Island,0
5/17/2021,Clifton Court Forebay,1.17E-04
5/17/2021,Liberty Island,0
5/18/2021,Franks Tract,0
5/18/2021,Clifton Court Forebay,1.87E-04
5/18/2021,Liberty Island,0
5/20/2021,Franks Tract,0
5/20/2021,Liberty Island,2.53E-06
5/21/2021,Franks Tract,0
5/21/2021,Mildred Island,0
5/21/2021,Clifton Court Forebay,2.77E-04
5/21/2021,Liberty Island,4.06E-06
5/22/2021,Franks Tract,0
5/22/2021,Clifton Court Forebay,2.75E-04
5/22/2021,Liberty Island,0
5/24/2021,Franks Tract,0
5/24/2021,Mildred Island,0
5/24/2021,Clifton Court Forebay,2.12E-04
5/24/2021,Liberty Island,0
5/25/2021,Franks Tract,0
5/25/2021,Mildred Island,0
5/25/2021,Clifton Court Forebay,1.30E-04
5/25/2021,Liberty Island,0
5/28/2021,Franks Tract,0
5/28/2021,Mildred Island,0
5/28/2021,Clifton Court Forebay,3.97E-05
5/28/2021,Liberty Island,0
5/29/2021,Franks Tract,0
5/29/2021,Mildred Island,0
5/29/2021,Clifton Court Forebay,2.30E-05
5/29/2021,Liberty Island,0
6/1/2021,Franks Tract,0
6/1/2021,Mildred Island,0
6/1/2021,Clifton Court Forebay,6.33E-06
6/1/2021,Liberty Island,0
6/2/2021,Franks Tract,0
