zoopBPUE,Year,chla,secchi,temp,FMWTIndex,SprNDOI,FallNDOI,SpX2,FallX2,Predators,FMWT,SKT,20mm,WYear,SacIndex,WYtype,Drought
15811.74,1975,7.9,30.57,17.63,697,43479.41,16089.46,58.78742,69.34514,4548,697,,,1975,9.35,Wet,N
10084.67,1976,4.16,65.6,18.38,359,6797.435,3612.615,81.33363,89.53077,1420,359,,,1976,5.29,Critical,D
28191.1,1977,3.42,76.16,19,480,3301.37,2912.571,93.54884,96.14049,883,480,,,1977,3.11,Critical,D
13876.73,1978,22.25,31.9,18.9,572,62530.5,10736.04,56.40591,77.52128,2598,572,,,1978,8.65,Above Normal,W
,1979,,,,,22083.75,8308.473,66.16134,82.00131,,,,,1979,6.67,Below Normal,W
18943.48,1980,17.98,31.47,17,1654,49755.08,7921.868,59.24673,77.72109,1493,1654,,,1980,9.04,Above Normal,W
13811.39,1981,10.64,45.18,18.17,374,15802.5,15192.54,72.5079,85.21724,4531,374,,,1981,6.21,Dry,N
17737.07,1982,15.47,31.19,17.55,333,92823.39,29240.24,,65.84773,4466,333,,,1982,12.76,Wet,W
14389.73,1983,3.61,40.59,18.39,132,161594.9,45803.55,,60.70263,12473,132,,,1983,15.29,Wet,W
9939.89,1984,15.33,38.5,20,182,20275.77,17088.44,66.12032,71.08544,6581,182,,,1984,10,Wet,W
11442.79,1985,4.35,71.05,16.6,110,8196.717,4464.407,75.5072,89.26845,1760,110,,,1985,6.47,Dry,N
10856.8,1986,7.33,39.4,17.1,212,77599.54,9698.78,,77.56636,3943,212,,,1986,9.96,Wet,N
1418.73,1987,1.4,56.86,18.61,280,11379.98,3268.692,75.34103,91.56643,1350,280,,,1987,5.86,Dry,D
1701.99,1988,1.1,40.32,18.64,174,6802.62,3994.484,84.59105,91.58257,477,174,,,1988,4.65,Critical,D
8413.2,1989,1.41,51.92,18.48,366,19414.24,5595.868,72.08092,86.08273,442,366,,,1989,6.13,Dry,D
5890.19,1990,1.8,61,18.6,364,5810.815,3449.571,87.80736,91.49148,1320,364,,,1990,4.81,Critical,D
2497.84,1991,1.49,54.48,19.36,689,10790.5,3860.33,81.75802,91.79036,944,689,,,1991,4.21,Critical,D
3167.94,1992,1.27,65.44,19.8,156,7613.13,3951.89,79.18167,93.18416,2042,156,,,1992,4.06,Critical,D
3788.26,1993,0.73,58.8,18.93,1078,44486.29,5925.78,60.17389,83.91254,1556,1078,,,1993,8.54,Above Normal,N
3917.21,1994,0.97,56.6,17.15,102,8903.435,4676.879,76.66299,89.90158,1259,102,,,1994,5.02,Critical,N
5446.12,1995,1.46,42.53,18.33,899,130267.1,13108.74,49.28342,73.26526,478,899,,4.4,1995,12.89,Wet,W
3810.93,1996,1.2,43.44,17.17,127,59252.24,7337.143,55.15917,82.45305,392,127,,33.9,1996,10.26,Wet,W
6772.26,1997,0.92,58,19.35,303,20176.62,6261.571,69.05614,86.84744,568,303,,19.2,1997,10.82,Wet,W
10436.84,1998,3.36,26.67,17.6,420,86775.03,17602.35,51.19403,69.88034,1224,420,,7.7,1998,13.31,Wet,W
10498.56,1999,3.86,41.67,17.58,864,42350.47,5294.022,57.47744,86.88043,541,864,,39.4,1999,9.8,Wet,W
7969.8,2000,2.6,44.71,17.82,756,45960.3,5054.945,59.97826,85.91053,388,756,,23.7,2000,8.94,Above Normal,W
5606.02,2001,1.64,53.25,18.22,603,15149.27,5537.264,73.21521,90.55326,731,603,,10.9,2001,5.76,Dry,D
9115.81,2002,1.93,46.4,17.82,139,14183.96,5223.758,71.07012,88.35033,73,139,,7.7,2002,6.35,Dry,D
6461.15,2003,1.96,59.27,18.6,210,26639.72,4800.077,62.90981,87.5135,111,210,,13,2003,8.21,Above Normal,N
6566.66,2004,1.25,59.58,17.22,74,30333.39,6662.78,64.40955,85.26264,54,74,99.7,8.2,2004,7.51,Below Normal,N
5604.08,2005,1.61,57.67,16.93,26,39927.85,5497.505,57.72706,84.65133,121,26,52.9,15.4,2005,8.49,Above Normal,W
5175.35,2006,1.61,44.54,17.49,41,124798.1,5693.813,,83.09366,363,41,18.2,9.8,2006,13.2,Wet,W
5523.3,2007,1.15,71.58,17.36,28,11566.13,4158.407,71.49523,86.8765,82,28,32.5,1,2007,6.19,Dry,D
6461.72,2008,2.07,78.83,19.08,23,9996.587,4345.615,74.43248,90.02801,220,23,24.1,2.9,2008,5.16,Critical,D
6259.08,2009,1.21,64.18,17.85,17,15993.04,4984.165,70.3283,87.29885,70,17,43.8,2.3,2009,5.78,Dry,D
6792.36,2010,2.26,70.58,18.21,29,20761.24,6119.286,65.661,85.67105,43,29,27.4,3.8,2010,7.08,Below Normal,D
8260.32,2011,1.94,56.92,17.89,343,78677.28,10864.31,54.73439,76.03514,272,343,18.8,8,2011,10.54,Wet,N
8959.34,2012,1.9,68.5,18.36,42,20046.54,5210.319,67.58246,84.55997,125,42,130.2,11.1,2012,6.89,Below Normal,D
8052.24,2013,1.57,61.17,17.57,18,10831.62,5134.846,75.44793,85.12429,69,18,20.4,7.8,2013,5.83,Dry,D
6669.72,2014,1.67,67.33,19.8,9,8273.967,4454.747,80.05674,87.38681,59,9,30.1,1.1,2014,4.07,Critical,D
8423,2015,1.85,75.08,19.53,7,6232.337,4777.022,81.10783,85.91703,52,7,13.8,0.3,2015,4,Critical,D
12354.82,2016,1.75,66.17,17.95,8,32350.87,7162.912,66.43402,82.89791,124,8,1.8,0.7,2016,6.71,Below Normal,D
16756.77,2017,1.85,52.33,17.91,2,98739.67,10429.13,47.66696,76.05549,470,2,3.8,1.5,2017,14.14,Wet,N
12299.8,2018,2.13,76.77,17.13,0,27439.77,6311.648,67.89391,83.82198,42,0,2.1,,2018,7.14,Below Normal,N
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
