Project,field_ID,NWIS_site_no,dec_lat_va,dec_long_va,sample_strt_dt,Datum,LOCAL,STAID,DATES,TIMES,Date format change,Date/Time format change,SAMPL,R A254 (AU/cm),A254 (AU/cm),M A254 (AU/cm),R NH4 (mg-N/L),NH4 (mg-N/L),M NH4 (mg-N/L),R NO2 + NO3 (mg-N/L),NO2 + NO3 (mg-N/L),M NO2 + NO3 (mg-N/L),R NO2 (mg-N/L),NO2 (mg-N/L),M NO2 (mg-N/L),R PO4 (mg-P/L),PO4 (mg-P/L),M PO4 (mg-P/L),R TPN (mg/L),TPN (mg/L),M TPN (mg/L),R TDN (mg-N/L),TDN (mg-N/L),M TDN (mg-N/L),R Chla (µg/L),Chla (µg/L),M Chla (µg/L),R 5 micron Chla (µg/L),5 micron Chla (µg/L),M 5 micron Chla (µg/L),R Pheophytin (µg/L),Pheophytin (µg/L),M Pheophytin (µg/L),R 5 micron Pheophytin (µg/L),5 micron Pheophytin (µg/L),M 5 micron Pheophytin (µg/L),R DOC (mg/L),DOC (mg/L),M DOC (mg/L),R SUVA254,SUVA254,M SUVA254
X2CM,LIB,11455315,38.2430111,-121.684286,201201051400,PST,CACHE SLOUGH A S LIBERTY ISLAND NR RIO VISTA CA,11455315,Jan 5 2012,1400,20120105,201201051400,01200897,,,,,0.29491,SHC02,,0.34978,RED01,,0.00747,DZ001,,0.06933,PHM01,,,,,,,,,,,,,,,,,,,,,,,,
X2CM,LIB,11455315,38.2430111,-121.684286,201201171100,,CACHE SLOUGH A S LIBERTY ISLAND NR RIO VISTA CA,11455315,Jan 17 2012,1100,20120117,201201171100,01200961,,,,,0.30118,SHC02,,0.31626,RED01,,0.01101,DZ001,,0.07089,PHM01,,,,,,,,,,,,,,,,,,,,,,,,
X2CM,LIB,11455315,38.2430111,-121.684286,201202091100,PST,CACHE SLOUGH A S LIBERTY ISLAND NR RIO VISTA CA,11455315,Feb 9 2012,1100,20120209,201202091100,01203345,,,,,0.16844,SHC02,,0.54682,RED01,,,,,0.10139,PHM01,,,,,1.015,CL062,,,,,,,,,,,,,,,,,,
X2CM,LIB,11455315,38.2430111,-121.684286,201204060830,PST,CACHE SLOUGH A S LIBERTY ISLAND NR RIO VISTA CA,11455315,Apr 6 2012,0830,20120406,201204060830,01207693,,,,,0.08975,SHC02,,0.55,RED01,,,,,0.09465,PHM01,,,,,1.022,CL062,,,,,,,,,,,,,,,,,,
X2CM,LIB,11455315,38.2430111,-121.684286,201204060930,PST,CACHE SLOUGH A S LIBERTY ISLAND NR RIO VISTA CA,11455315,Apr 6 2012,0930,20120406,201204060930,01203340,,,,,0.07208,SHC02,,0.58957,RED01,,,,,0.11066,PHM01,,,,,1.074,CL062,,,,,,,,,,,,,,,,,,
X2CM,LIB,11455315,38.2430111,-121.684286,201204061030,PST,CACHE SLOUGH A S LIBERTY ISLAND NR RIO VISTA CA,11455315,Apr 6 2012,1030,20120406,201204061030,01203341,,,,,0.06703,SHC02,,0.70517,RED01,,,,,0.11953,PHM01,,,,,1.156,CL062,,,,,,,,,,,,,,,,,,
X2CM,LIB,11455315,38.2430111,-121.684286,201204061130,PST,CACHE SLOUGH A S LIBERTY ISLAND NR RIO VISTA CA,11455315,Apr 6 2012,1130,20120406,201204061130,01203342,,,,,0.04621,SHC02,,0.77133,RED01,,,,,0.12473,PHM01,,,,,1.209,CL062,,,,,,,,,,,,,,,,,,
X2CM,LIB,11455315,38.2430111,-121.684286,201204061230,PST,CACHE SLOUGH A S LIBERTY ISLAND NR RIO VISTA CA,11455315,Apr 6 2012,1230,20120406,201204061230,01203343,,,,,0.04441,SHC02,,0.6843,RED01,,,,,0.12363,PHM01,,,,,0.971,CL062,,,,,,,,,,,,,,,,,,
X2CM,LIB,11455315,38.2430111,-121.684286,201204061330,PST,CACHE SLOUGH A S LIBERTY ISLAND NR RIO VISTA CA,11455315,Apr 6 2012,1330,20120406,201204061330,01203344,,,,,0.06125,SHC02,,1.04298,RED01,,,,,0.09424,PHM01,,,,,1.189,CL062,,,,,,,,,,,,,,,,,,
X2CM,LIB,11455315,38.2430111,-121.684286,201204190900,PST,CACHE SLOUGH A S LIBERTY ISLAND NR RIO VISTA CA,11455315,Apr 19 2012,0900,20120419,201204190900,01207694,,,,,0.06976,SHC02,,0.45714,RED01,,,,,0.09938,PHM01,,,,,0.913,CL062,,,,,,,,,,,,,,,,,,
