"","Region","Yr_type","Max","Maxclearance","Mean","Meanclearance"
"1","Confluence","Below Normal",935.062168854336,0.00400393006359196,10.5657411289782,4.5242434096418e-05
"2","Confluence","Critical",5017.9211469534,0.0214867053830625,118.382997968941,0.000506915219516093
"3","Confluence","Dry",1448.20736278876,0.00620121441260923,14.861064742061,6.36349815869772e-05
"4","Confluence","Wet",953.947368421053,0.00408479636405919,16.6613125796518,7.1343630999751e-05
"5","North","Below Normal",0,0,0,0
"6","North","Critical",0,0,0,0
"7","North","Dry",0,0,0,0
"8","North","Wet",0,0,0,0
"9","SouthCentral","Below Normal",0,0,0,0
"10","SouthCentral","Critical",297.467686373101,0.00127375467866024,0.967987863618606,4.1449176722478e-06
"11","SouthCentral","Dry",9.82318271119843,4.20628038301603e-05,0.0089873583817003,3.84838095426901e-08
"12","SouthCentral","Wet",0,0,0,0
"13","Suisun Bay","Below Normal",1441.67758846658,0.00617325396186285,23.5504700090241,0.000100842957849941
"14","Suisun Bay","Critical",2372.47924080664,0.0101589405217327,23.8238316983557,0.000102013490807648
"15","Suisun Bay","Dry",2783.78378378378,0.0119201438724531,17.1103479103674,7.32663973356732e-05
"16","Suisun Bay","Wet",17296.9966629588,0.0740656260679705,275.598029960895,0.00118010895358878
"17","Suisun Marsh","Below Normal",8132.8903654485,0.0348249831110315,110.518638075673,0.00047324008212267
"18","Suisun Marsh","Critical",5980.06644518272,0.0256066052286996,97.5893530030336,0.000417876968388189
"19","Suisun Marsh","Dry",4889.97555012225,0.0209388431780456,112.444932029837,0.000481488460178474
"20","Suisun Marsh","Wet",22232.5581395349,0.0951996678835876,249.807985468332,0.00106967615251453
