Region,Yr_type,mean_clearance,max_clearance
Confluence,Dry,0.16991576447138979,0.21353971232020014
North,Dry,0.26056175595238096,0.6804166666666667
SouthCentral,Dry,0.2133983901276371,0.24713768115942028
Suisun Bay,Dry,0.19978912664203613,0.339
Suisun Marsh,Dry,0.3499358974358974,0.5800757575757576
Confluence,Critical,0.21853386292856478,0.37053125
North,Critical,0.17157589285714286,0.4469642857142857
SouthCentral,Critical,0.19346001644073374,0.3139309210526316
Suisun Bay,Critical,0.2604942186644773,0.5368518518518519
Suisun Marsh,Critical,0.44463068181818183,0.6871590909090909
Confluence,Below Normal,0.1489802233626352,0.2617054738562092
North,Below Normal,0.1298125,0.15125
SouthCentral,Below Normal,0.20187047797347862,0.2670348837209302
Suisun Bay,Below Normal,0.26209454330165116,0.38649966931216934
Suisun Marsh,Below Normal,0.632007326007326,0.9281845238095238
Confluence,Wet,0.10404034937165263,0.16826290414066933
North,Wet,0.10913194444444445,0.235625
SouthCentral,Wet,0.169647201460431,0.24584935897435897
Suisun Bay,Wet,0.17439545418263092,0.3186111111111111
Suisun Marsh,Wet,0.28832451923076924,0.399875
